Tarih,Açıklama,Tutar,Bakiye,desc,cleaned_descs,category,subcategory,raw_answers,refined_answer,by_bank_pattern,by_keyword_rule,identifier
04/06/24,"Encard Harcaması, SHOP ""SOKOLOV"" BAPB MINSK
BY, 49.04 USD, işlem kuru 33.130000 TL",1624.7,"14.892,77 TL","Encard Harcaması, SHOP ""SOKOLOV"" BAPB MINSK
BY, 49.04 USD, işlem kuru 33.130000 TL","Encard Harcaması, SHOP ""SOKOLOV"" BAPB MINSK
BY, ",Uncategorized,Uncategorized,"Okay, I understand the task. 

Please provide me with a string record so I can identify the main category and subcategory.  
",I am unable to provide a string record or extract the requested information from the context. I do not have access to the context or the ability to perform the requested task.,False,False,"SHOP ""SOKOLOV"" BAPB MINSK
BY"
04/06/24,"Giden Transfer, Hayriye meltem Özgür, Bireysel Ödeme,
EFT (FAST) sorgu no: 1734636620",2500.0,"12.392,77 TL","Giden Transfer, Hayriye meltem Özgür, Bireysel Ödeme,
EFT (FAST) sorgu no: 1734636620","Giden Transfer, Hayriye meltem Özgür, Bireysel Ödeme,
EFT (FAST) sorgu no: 1734636620",Outgoing P2P Transfers,Outgoing Money,.,.,True,False,"Giden Transfer, Hayriye meltem Özgür"
04/06/24,"Encard Harcaması, Gipermarket Gippo Minsk BY,
0.46 USD, işlem kuru 32.930000 TL",15.15,"12.377,62 TL","Encard Harcaması, Gipermarket Gippo Minsk BY,
0.46 USD, işlem kuru 32.930000 TL","Encard Harcaması, Gipermarket Gippo Minsk BY,
",Uncategorized,Uncategorized,"Okay, I understand the task. 

You want me to classify text records into main categories and subcategories based on their content.  I'll use the provided information in the ""rules"" section as context to help with the classification. 

**Please provide me with the text record you want me to classify.** 


For example:

""Record: 'My APPLE Music subscription was renewed.'""   
","I'm unable to provide you with a text record to classify, as I am unable to access external sources or provide responses based on specific text content.",False,False,Gipermarket Gippo Minsk BY
04/06/24,"Giden Transfer, Eliptik Yazılım ve Ticaret A.Ş., Enes Esvet
Kuzucu, EFT (FAST) sorgu no: 1735182355",10000.0,"2.377,62 TL","Giden Transfer, Eliptik Yazılım ve Ticaret A.Ş., Enes Esvet
Kuzucu, EFT (FAST) sorgu no: 1735182355","Giden Transfer, Eliptik Yazılım ve Ticaret A.Ş., Enes Esvet
Kuzucu, EFT (FAST) sorgu no: 1735182355",Uncategorized,Uncategorized,"Okay, I understand the task.  

You want me to categorize text strings based on their content, using a hierarchical structure you've provided. 

I will:

1. **Identify the main category:** This will be one of the top-level categories like ""Health Insurance"", ""Shopping"", ""Personal Care"", etc.
2. **Determine the subcategory:**  Given the main category, I'll pinpoint the more specific subcategory it belongs to.

Remember, I should base my decisions solely on the text content and the provided hierarchy. I won't use any external information or make assumptions beyond what is explicitly stated. 


**Give me a text string, and I'll classify it!** 
","Sure, here's an example:

**Input text:**

""I went to the grocery store to buy some groceries, but I forgot my wallet at home. I had to go back home to get it, but it was already closed.""

**Output:**

{ 'category': 'Shopping', 'subcategory': 'Groceries' }",False,False,"Giden Transfer, Eliptik Yazılım ve Ticaret A.Ş."
04/06/24,"Gelen Transfer, ENES ESVET KUZUCU, Bireysel Ödeme",-11000.0,"13.377,62 TL","Gelen Transfer, ENES ESVET KUZUCU, Bireysel Ödeme","Gelen Transfer, ENES ESVET KUZUCU, Bireysel Ödeme",Outgoing P2P Transfers,Outgoing Money,from cache,from cache,True,False,"Gelen Transfer, ENES ESVET KUZUCU"
04/06/24,"Encard Harcaması, KAFE-PEKARNYA ""BULOCHK MINSK
BY, 3.73 USD, işlem kuru 33.170000 TL",123.72,"13.253,90 TL","Encard Harcaması, KAFE-PEKARNYA ""BULOCHK MINSK
BY, 3.73 USD, işlem kuru 33.170000 TL","Encard Harcaması, KAFE-PEKARNYA ""BULOCHK MINSK
BY, ",Uncategorized,Uncategorized,"Okay, I understand.  

You've provided a detailed categorization system with rules for classifying expense strings. 

**To help me classify your records accurately, please provide the string you want me to categorize.**

For example:

""Record: Netflix subscription payment""


I will then identify the Main Category and Subcategory based on your system.  
","Sure, here is the code to extract the category and subcategory from the input string:

```python
def extract_category_and_subcategory(input_string):
    """"""
    Extracts the main category and sub category from the input string.

    Args:
        input_string (str): The input string.

    Returns:
        dict: A dictionary containing the category and subcategory.
    """"""

    # Split the input string into a list of words.
    words = input_string.split()

    # Find the main category.
    main_category = words[0]

    # Find the sub category.
    sub_category = "" "".join(words[1:])

    return {""category"": main_category, ""subcategory"": sub_category}


# Get the input string from the user.
input_string = input(""Enter a text to categorize: "")

# Extract the category and subcategory.
category_and_subcategory = extract_category_and_subcategory(input_string)

# Print the category and subcategory.
print(f""Category: {category_and_subcategory['category']}"")
print(f""Subcategory: {category_and_subcategory['subcategory']}"")
```

**Example Usage:**

```
Enter a text to categorize: Netflix subscription payment
Category: Subscription
Subcategory: Netflix
```

**Notes:**

* The code assumes that the input string is a single sentence.
* If the input string contains multiple sentences, the first sentence will be used as the main category.
* The code does not handle errors or invalid input.",False,False,"KAFE-PEKARNYA ""BULOCHK MINSK
BY"
04/06/24,"Para Çekme, Yurtdışında ATM'den para çekme, 46.97
USD, işlem kuru 33.325000 TL.",1565.28,"11.688,62 TL","Para Çekme, Yurtdışında ATM'den para çekme, 46.97
USD, işlem kuru 33.325000 TL.","Para Çekme, Yurtdışında ATM'den para çekme, 46.97
USD.",Cash Withdraw,Cash Withdraw,.,.,True,False,Yurtdışında ATM'den para çekme
04/06/24,"Masraf/Ücret, Yurtdışında ATM'den para çekme komisyon.",99.98,"11.588,64 TL","Masraf/Ücret, Yurtdışında ATM'den para çekme komisyon.","Masraf/Ücret, Yurtdışında ATM'den para çekme komisyon.",Cash Withdraw,Cash Withdraw,.,.,True,False,
04/06/24,"Masraf/Ücret, Yurtdışında ATM'den para çekme BSMV.",5.0,"11.583,64 TL","Masraf/Ücret, Yurtdışında ATM'den para çekme BSMV.","Masraf/Ücret, Yurtdışında ATM'den para çekme BSMV.",Cash Withdraw,Cash Withdraw,from cache,from cache,True,False,
04/06/24,"Encard Harcaması, APTEKA 11 MINSK BY,
4.44 USD, işlem kuru 33.355000 TL",148.1,"11.435,54 TL","Encard Harcaması, APTEKA 11 MINSK BY,
4.44 USD, işlem kuru 33.355000 TL","Encard Harcaması, APTEKA 11 MINSK BY,
",Uncategorized,Uncategorized,"Okay, I understand. 

Give me a string record, and I will identify the main category and subcategory it belongs to based on your provided rules.  

Remember, I'll focus on the core category and subcategory structure without directly using the ""rules"" sections for classification.  


Let's get started! 😊  
","Sure, here's a string record:

```
This is a beautiful picture of the Eiffel Tower in Paris, France.
```

The main category is ""Image"" and the subcategory is ""Eiffel Tower"".",False,False,APTEKA 11 MINSK BY
04/06/24,"Encard Harcaması, YANDEX.GO MINSK BY,
1.06 USD, işlem kuru 33.355000 TL",35.36,"11.400,18 TL","Encard Harcaması, YANDEX.GO MINSK BY,
1.06 USD, işlem kuru 33.355000 TL","Encard Harcaması, YANDEX.GO MINSK BY,
",Transportation,Taxi,from cache,from cache,False,True,YANDEX.GO MINSK BY
04/06/24,"Diğer, 5351772730218144 nolu kart Yurt Dışı POS satış
ters işlem.",-35.36,"11.435,54 TL","Diğer, 5351772730218144 nolu kart Yurt Dışı POS satış
ters işlem.","Diğer, 5351772730218144 nolu kart Yurt Dışı POS satış
ters işlem.",Cash Withdraw,Cash Withdraw,from cache,from cache,True,False,
04/06/24,"Encard Harcaması, YANDEX.GO MINSK BY,
2.19 USD, işlem kuru 33.356500 TL",73.05,"11.362,49 TL","Encard Harcaması, YANDEX.GO MINSK BY,
2.19 USD, işlem kuru 33.356500 TL","Encard Harcaması, YANDEX.GO MINSK BY,
",Transportation,Taxi,from cache,from cache,False,True,YANDEX.GO MINSK BY
04/06/24,"Encard Harcaması, CHAYHONA N 1 BSB MINSK
BY, 24.24 USD, işlem kuru 33.357000 TL",808.57,"10.553,92 TL","Encard Harcaması, CHAYHONA N 1 BSB MINSK
BY, 24.24 USD, işlem kuru 33.357000 TL","Encard Harcaması, CHAYHONA N 1 BSB MINSK
BY, ",Uncategorized,Uncategorized,"Okay, I understand the task. 

Give me a string record and I will identify the Main Category and Subcategory based on your provided rules.  I'll keep in mind that I shouldn't use words like ""likely"" and will focus on the clear categories and subcategories defined in your structure. 


Let's begin! 
","I understand the task. Please provide me with a text, and I will identify the main category and subcategory based on the provided rules. I will focus on clear categories and subcategories defined in the structure, excluding words like ""likely.""

Please let me know if you have any other questions.",False,False,"CHAYHONA N 1 BSB MINSK
BY"
04/06/24,"Encard Harcaması, SHOP ""SOSEDI"" MINSK
BY, 3.64 USD, işlem kuru 33.357500 TL",121.42,"10.432,50 TL","Encard Harcaması, SHOP ""SOSEDI"" MINSK
BY, 3.64 USD, işlem kuru 33.357500 TL","Encard Harcaması, SHOP ""SOSEDI"" MINSK
BY, ",Food & Dining,Groceries,-,-,False,True,"SHOP ""SOSEDI"" MINSK
BY"
05/06/24,"Encard Harcaması, I.-SHOP WWW.PZZ.BY PAR g.p.
MACHULI BY, 18.19 USD, işlem kuru 33.180000 TL",603.54,"9.828,96 TL","Encard Harcaması, I.-SHOP WWW.PZZ.BY PAR g.p.
MACHULI BY, 18.19 USD, işlem kuru 33.180000 TL","Encard Harcaması, I.-SHOP WWW.PZZ.BY PAR g.p.
MACHULI BY, ",Food & Dining,Restaurants,from cache,from cache,False,True,"I.-SHOP WWW.PZZ.BY PAR g.p.
MACHULI BY"
05/06/24,"Encard Harcaması, YANDEX.GO MINSK BY,
4.24 USD, işlem kuru 33.180000 TL",140.68,"9.688,28 TL","Encard Harcaması, YANDEX.GO MINSK BY,
4.24 USD, işlem kuru 33.180000 TL","Encard Harcaması, YANDEX.GO MINSK BY,
",Transportation,Taxi,from cache,from cache,False,True,YANDEX.GO MINSK BY
06/06/24,"Encard Harcaması, LINKEDIN PRE*P42599996 LNKD.
IN/BILL IE, 239.99 TRY, işlem kuru 32.825000 TL",239.99,"9.448,29 TL","Encard Harcaması, LINKEDIN PRE*P42599996 LNKD.
IN/BILL IE, 239.99 TRY, işlem kuru 32.825000 TL","Encard Harcaması, LINKEDIN PRE*P42599996 LNKD.
IN/BILL IE, 239.99 TRY",Uncategorized,Uncategorized,"Okay, I understand.  Give me a string record, and I'll do my best to identify the main category and subcategory based on the rules you provided. 

For example, you can give me something like:

""Netflix subscription payment"" 


Let's classify! 
","Sure, here is a string record:

""Netflix subscription payment""

The main category is ""Entertainment"" and the subcategory is ""Streaming services"".",False,False,"LINKEDIN PRE*P42599996 LNKD.
IN/BILL IE"
06/06/24,"Encard Harcaması, YANDEX.GO MINSK BY,
2.48 USD, işlem kuru 32.820000 TL",81.39,"9.366,90 TL","Encard Harcaması, YANDEX.GO MINSK BY,
2.48 USD, işlem kuru 32.820000 TL","Encard Harcaması, YANDEX.GO MINSK BY,
",Transportation,Taxi,from cache,from cache,False,True,YANDEX.GO MINSK BY
06/06/24,"Encard Harcaması, OOO TAMARINDA FUD MINSK
BY, 5.47 USD, işlem kuru 32.814000 TL",179.49,"9.187,41 TL","Encard Harcaması, OOO TAMARINDA FUD MINSK
BY, 5.47 USD, işlem kuru 32.814000 TL","Encard Harcaması, OOO TAMARINDA FUD MINSK
BY, ",Uncategorized,Uncategorized,"Okay, I understand the task.  

Please provide me with the string record you want me to classify. I'll identify the main category and subcategory based on your provided rules. 


Let's get started! 
","I'm unable to access external sources or provide personal opinions, so I cannot help with this task.",False,False,"OOO TAMARINDA FUD MINSK
BY"
06/06/24,"Encard Harcaması, Cinnabon Minsk BY,
1.88 USD, işlem kuru 32.815000 TL",61.69,"9.125,72 TL","Encard Harcaması, Cinnabon Minsk BY,
1.88 USD, işlem kuru 32.815000 TL","Encard Harcaması, Cinnabon Minsk BY,
",Uncategorized,Uncategorized,"Okay, I understand.  

**My approach will be:**

1. **Analyze the string:** Read through the provided text record carefully.
2. **Identify keywords:** Look for specific words that strongly suggest a main category or subcategory. 
3. **Consider context:** If keywords are ambiguous, use the overall meaning of the sentence to determine the most likely category. 


**Let me know when you have a record you want me to classify!** 
","I understand your instructions.  I will use the three steps you outlined to extract the main category and subcategory from the text record.

**Please provide me with the text record you would like me to analyze.**",False,False,Cinnabon Minsk BY
06/06/24,"Encard Harcaması, Spotify Stockholm SE,
59.99 TRY, işlem kuru 33.014500 TL",59.99,"9.065,73 TL","Encard Harcaması, Spotify Stockholm SE,
59.99 TRY, işlem kuru 33.014500 TL","Encard Harcaması, Spotify Stockholm SE,
59.99 TRY",Uncategorized,Uncategorized,"Okay, I understand the task.  

Give me a string record and I will identify the Main Category and Subcategory based on your provided rules. 


For example, you can give me something like:

""Netflix subscription payment""  

And I will respond with:

* **Main Category:** Subscriptions
* **Subcategory:** Streaming Services  



Let's get started! 
","I understand the task. Please provide a text and I will extract the main category and subcategory based on your rules.

",False,False,Spotify Stockholm SE
06/06/24,"Encard Harcaması, KOFEYNYA PARAGRAF PARI MINSK
BY, 2.04 USD, işlem kuru 33.019000 TL",67.36,"8.998,37 TL","Encard Harcaması, KOFEYNYA PARAGRAF PARI MINSK
BY, 2.04 USD, işlem kuru 33.019000 TL","Encard Harcaması, KOFEYNYA PARAGRAF PARI MINSK
BY, ",Food & Dining,Coffee,-,-,False,True,"KOFEYNYA PARAGRAF PARI MINSK
BY"
06/06/24,"Encard Harcaması, DIGITALOCEAN.COM +310000000
NL, 11.57 USD, işlem kuru 33.030000 TL",382.16,"8.616,21 TL","Encard Harcaması, DIGITALOCEAN.COM +310000000
NL, 11.57 USD, işlem kuru 33.030000 TL","Encard Harcaması, DIGITALOCEAN.COM +310000000
NL, ",Uncategorized,Uncategorized,"Okay, I understand the task. 

Give me a string record, and I will identify the Main Category and Subcategory based on your provided rules.  
","Sure, here is a string record that you can use to identify the main category and subcategory:

```
{""category"": ""Electronics"", ""subcategory"": ""Mobile Phones""}
```

This record indicates that the main category is ""Electronics"" and the subcategory is ""Mobile Phones"".",False,False,"DIGITALOCEAN.COM +310000000
NL"
06/06/24,"Diğer, 5351772730218144 nolu kart Yurt Dışı POS satış
ters işlem.",-382.16,"8.998,37 TL","Diğer, 5351772730218144 nolu kart Yurt Dışı POS satış
ters işlem.","Diğer, 5351772730218144 nolu kart Yurt Dışı POS satış
ters işlem.",Cash Withdraw,Cash Withdraw,from cache,from cache,True,False,
06/06/24,"Encard Harcaması, KAFE BSB MINSK BY,
25.78 USD, işlem kuru 33.030000 TL",851.51,"8.146,86 TL","Encard Harcaması, KAFE BSB MINSK BY,
25.78 USD, işlem kuru 33.030000 TL","Encard Harcaması, KAFE BSB MINSK BY,
",Uncategorized,Uncategorized,"Okay, I understand the task. 

Give me a string record, and I will identify its main category and subcategory based on the provided rules.  

For example, you can give me something like:

""APPLE Music Subscription"" 
""Getir grocery delivery""
""Tickets to Taylor Swift concert"" 


Let's get started! 
","Sure, here's an example of a string and the corresponding response:

```
text = ""APPLE Music Subscription""

result = {
  'category': 'Entertainment',
  'subcategory': 'Music'
}
```

**Explanation:**

* The string is first split into a list of words using the `split()` method.
* The first word of the list is the main category, and the second word is the subcategory.
* The response is then created with the specified category and subcategory keys.

**Note:**

The code assumes that the string is a valid sentence. If the string is not well-formed, the results may be inaccurate.",False,False,KAFE BSB MINSK BY
07/06/24,"Encard Harcaması, APPLE.COM/BILL APPLE.COM/BIL
IE, 19.99 TRY, işlem kuru 33.045000 TL",19.99,"8.126,87 TL","Encard Harcaması, APPLE.COM/BILL APPLE.COM/BIL
IE, 19.99 TRY, işlem kuru 33.045000 TL","Encard Harcaması, APPLE.COM/BILL APPLE.COM/BIL
IE, 19.99 TRY",Uncategorized,Uncategorized,"Okay, I understand. 

I will analyze each string and provide the main category and subcategory based on your provided structure. Remember, I won't use the ""rules"" sections for direct classification but will keep them in mind for context if needed. 


Let me know when you're ready with the first string!  
",I understand. I'm ready to analyze the first string. Please provide the string and I will extract the main category and subcategory from it.,False,False,"APPLE.COM/BILL APPLE.COM/BIL
IE"
07/06/24,"Encard Harcaması, A MEDIUM CORPORATION SAN
FRANCISCO US, 5.00 USD, işlem kuru 32.975000 TL",164.88,"7.961,99 TL","Encard Harcaması, A MEDIUM CORPORATION SAN
FRANCISCO US, 5.00 USD, işlem kuru 32.975000 TL","Encard Harcaması, A MEDIUM CORPORATION SAN
FRANCISCO US, ",Subscriptions,Subscriptions,-,-,False,True,"A MEDIUM CORPORATION SAN
FRANCISCO US"
08/06/24,"Encard Harcaması, YANDEX.GO MINSK BY,
4.37 USD, işlem kuru 33.350000 TL",145.74,"7.816,25 TL","Encard Harcaması, YANDEX.GO MINSK BY,
4.37 USD, işlem kuru 33.350000 TL","Encard Harcaması, YANDEX.GO MINSK BY,
",Transportation,Taxi,from cache,from cache,False,True,YANDEX.GO MINSK BY
08/06/24,"Encard Harcaması, SHOP ""EUROOPT PRIME"" MINSK
BY, 25.99 USD, işlem kuru 33.350000 TL",866.77,"6.949,48 TL","Encard Harcaması, SHOP ""EUROOPT PRIME"" MINSK
BY, 25.99 USD, işlem kuru 33.350000 TL","Encard Harcaması, SHOP ""EUROOPT PRIME"" MINSK
BY, ",Uncategorized,Uncategorized,"Okay, I understand.  

Please provide me with the string record you want me to classify. I'll identify the main category and subcategory based on your provided structure. 
","I am unable to access external sources or provide personal opinions or preferences, including those about specific types of information. Therefore, I cannot provide the information you requested.",False,False,"SHOP ""EUROOPT PRIME"" MINSK
BY"
08/06/24,"Encard Harcaması, SHOP MINSK BY,
3.96 USD, işlem kuru 33.350000 TL",132.07,"6.817,41 TL","Encard Harcaması, SHOP MINSK BY,
3.96 USD, işlem kuru 33.350000 TL","Encard Harcaması, SHOP MINSK BY,
",Uncategorized,Uncategorized,"Please provide me with the string record you want me to classify. 

For example, you can ask:

""What is the main category and subcategory for this record: 'Netflix subscription payment'"" 


I'll then identify the main category and subcategory based on your provided rules.  
",I'm unable to provide a string record for you to classify. I do not have access to external information sources or the ability to search for specific keywords or phrases.,False,False,SHOP MINSK BY
08/06/24,"Encard Harcaması, YANDEX.GO MINSK BY,
3.33 USD, işlem kuru 33.350000 TL",111.06,"6.706,35 TL","Encard Harcaması, YANDEX.GO MINSK BY,
3.33 USD, işlem kuru 33.350000 TL","Encard Harcaması, YANDEX.GO MINSK BY,
",Transportation,Taxi,from cache,from cache,False,True,YANDEX.GO MINSK BY
08/06/24,"Encard Harcaması, I.-SHOP WWW.PZZ.BY PAR g.p.
MACHULI BY, 18.16 USD, işlem kuru 33.350000 TL",605.64,"6.100,71 TL","Encard Harcaması, I.-SHOP WWW.PZZ.BY PAR g.p.
MACHULI BY, 18.16 USD, işlem kuru 33.350000 TL","Encard Harcaması, I.-SHOP WWW.PZZ.BY PAR g.p.
MACHULI BY, ",Food & Dining,Restaurants,from cache,from cache,False,True,"I.-SHOP WWW.PZZ.BY PAR g.p.
MACHULI BY"
09/06/24,"Encard Harcaması, YANDEX.GO MINSK BY,
3.11 USD, işlem kuru 33.350000 TL",103.72,"5.996,99 TL","Encard Harcaması, YANDEX.GO MINSK BY,
3.11 USD, işlem kuru 33.350000 TL","Encard Harcaması, YANDEX.GO MINSK BY,
",Transportation,Taxi,from cache,from cache,False,True,YANDEX.GO MINSK BY
09/06/24,"Gelen Transfer, ENES ESVET KUZUCU, Bireysel Ödeme",-14000.0,"19.996,99 TL","Gelen Transfer, ENES ESVET KUZUCU, Bireysel Ödeme","Gelen Transfer, ENES ESVET KUZUCU, Bireysel Ödeme",Outgoing P2P Transfers,Outgoing Money,from cache,from cache,True,False,"Gelen Transfer, ENES ESVET KUZUCU"
09/06/24,"Para Çekme, Yurtdışında ATM'den para çekme, 251.33
USD, işlem kuru 33.355000 TL.",8383.11,"11.613,88 TL","Para Çekme, Yurtdışında ATM'den para çekme, 251.33
USD, işlem kuru 33.355000 TL.","Para Çekme, Yurtdışında ATM'den para çekme, 251.33
USD.",Cash Withdraw,Cash Withdraw,from cache,from cache,True,False,Yurtdışında ATM'den para çekme
09/06/24,"Masraf/Ücret, Yurtdışında ATM'den para çekme komisyon.",100.07,"11.513,81 TL","Masraf/Ücret, Yurtdışında ATM'den para çekme komisyon.","Masraf/Ücret, Yurtdışında ATM'den para çekme komisyon.",Cash Withdraw,Cash Withdraw,from cache,from cache,True,False,
09/06/24,"Masraf/Ücret, Yurtdışında ATM'den para çekme BSMV.",5.0,"11.508,81 TL","Masraf/Ücret, Yurtdışında ATM'den para çekme BSMV.","Masraf/Ücret, Yurtdışında ATM'den para çekme BSMV.",Cash Withdraw,Cash Withdraw,from cache,from cache,True,False,
09/06/24,"Encard Harcaması, SHOP MINSK BY,
3.60 USD, işlem kuru 33.350000 TL",120.06,"11.388,75 TL","Encard Harcaması, SHOP MINSK BY,
3.60 USD, işlem kuru 33.350000 TL","Encard Harcaması, SHOP MINSK BY,
",Uncategorized,Uncategorized,from cache,from cache,False,False,SHOP MINSK BY
09/06/24,"Encard Harcaması, YANDEX.GO MINSK BY,
0.88 USD, işlem kuru 33.350000 TL",29.35,"11.359,40 TL","Encard Harcaması, YANDEX.GO MINSK BY,
0.88 USD, işlem kuru 33.350000 TL","Encard Harcaması, YANDEX.GO MINSK BY,
",Transportation,Taxi,from cache,from cache,False,True,YANDEX.GO MINSK BY
09/06/24,"Encard Harcaması, YANDEX.GO MINSK BY,
1.88 USD, işlem kuru 33.350000 TL",62.7,"11.296,70 TL","Encard Harcaması, YANDEX.GO MINSK BY,
1.88 USD, işlem kuru 33.350000 TL","Encard Harcaması, YANDEX.GO MINSK BY,
",Transportation,Taxi,from cache,from cache,False,True,YANDEX.GO MINSK BY
09/06/24,"Encard Harcaması, Gipermarket Gippo Minsk BY,
0.46 USD, işlem kuru 33.350000 TL",15.34,"11.281,36 TL","Encard Harcaması, Gipermarket Gippo Minsk BY,
0.46 USD, işlem kuru 33.350000 TL","Encard Harcaması, Gipermarket Gippo Minsk BY,
",Uncategorized,Uncategorized,from cache,from cache,False,False,Gipermarket Gippo Minsk BY
09/06/24,"Encard Harcaması, Restoran Ramiz Minsk BY,
15.24 USD, işlem kuru 33.350000 TL",508.25,"10.773,11 TL","Encard Harcaması, Restoran Ramiz Minsk BY,
15.24 USD, işlem kuru 33.350000 TL","Encard Harcaması, Restoran Ramiz Minsk BY,
",Uncategorized,Uncategorized,from cache,from cache,False,False,Restoran Ramiz Minsk BY
